datacenter,canceled_job,hours_before_execution,request_month,request_week,request_day,peak_gpu_hours,offpeak_gpu_hours,num_primary_processes,num_auxiliary_processes,num_background_processes,service_tier,client_type,request_channel,returning_client,previous_job_cancellations,successful_previous_jobs,reserved_gpu_type,assigned_gpu_type,resource_modifications,reservation_commitment,queue_wait_time,workload_profile,estimated_cost_per_hour,reserved_storage_units,special_resource_requests,total_gpu_hours,total_processes,high_value_client
GPU_Cluster_AA,0,7,2,10,29,11549.5,37018.5,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,2,no_commitment,0,single_experiment,66.0,1,0,48568.0,2.0,0
GPU_Cluster_BB,1,177,6,23,3,0.0,39618.4,2,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,100.0,0,0,39618.4,2.0,0
GPU_Cluster_AA,1,44,2,9,27,14713.2,10213.4,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,48.0,0,2,24926.6,2.0,0
GPU_Cluster_BB,1,622,3,12,23,0.0,32634.6,2,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,locked_allocation,0,single_experiment,62.0,0,0,32634.6,2.0,0
GPU_Cluster_AA,1,245,9,39,25,0.0,11743.4,2,0.0,0,priority,research_consortium,broker_platform,0,1,0,GPU_T1,GPU_T1,0,locked_allocation,0,single_experiment,80.0,0,0,11743.4,2.0,0
GPU_Cluster_AA,0,243,9,39,19,54842.5,75697.1,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,64.54,0,1,130539.6,2.0,0
GPU_Cluster_AA,0,157,7,30,20,13847.6,36185.0,2,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,long_term_contract,97.1,1,0,50032.6,2.0,0
GPU_Cluster_BB,0,9,1,3,15,9974.2,28743.5,1,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,82.0,0,2,38717.7,1.0,0
GPU_Cluster_BB,0,0,7,27,2,0.0,0.0,2,0.0,0,standard,managed_account,broker_platform,1,0,0,GPU_T1,GPU_T10,0,no_commitment,0,single_experiment,0.0,0,0,0.0,2.0,0
GPU_Cluster_BB,1,74,9,38,18,0.0,16111.9,2,0.0,0,priority,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,locked_allocation,0,multi_run_experiment,101.5,0,0,16111.9,2.0,0
GPU_Cluster_BB,1,168,10,41,4,0.0,114558.4,2,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,82.28,0,0,114558.4,2.0,0
GPU_Cluster_BB,0,9,11,46,11,0.0,7645.6,1,0.0,0,standard,enterprise_client,enterprise_portal,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,65.0,0,0,7645.6,1.0,1
GPU_Cluster_AA,0,100,4,17,29,17589.6,11204.5,2,0.0,0,unknown,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,83.0,0,1,28794.1,2.0,0
GPU_Cluster_AA,0,100,4,17,29,26407.3,24578.8,2,0.0,0,unknown,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,83.0,0,1,50986.1,2.0,0
GPU_Cluster_BB,1,231,12,53,27,38513.8,92266.3,1,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,69.58,0,0,130780.1,1.0,0
GPU_Cluster_BB,0,192,10,43,21,0.0,25800.4,2,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,95.0,0,0,25800.4,2.0,0
GPU_Cluster_BB,0,17,7,31,28,0.0,43575.4,3,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,173.67,0,1,43575.4,3.0,1
GPU_Cluster_BB,1,178,4,18,28,0.0,38727.4,2,0.0,0,standard,managed_account,broker_platform,0,1,0,GPU_T1,GPU_T1,0,locked_allocation,46,single_experiment,120.0,0,0,38727.4,2.0,0
GPU_Cluster_AA,0,174,6,23,3,63676.8,76204.5,2,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,long_term_contract,64.9,0,3,139881.3,2.0,0
GPU_Cluster_BB,1,414,12,49,5,41642.5,20066.6,2,0.0,0,standard,research_consortium,broker_platform,0,1,0,GPU_T1,GPU_T1,0,locked_allocation,0,single_experiment,62.0,0,0,61709.1,2.0,0
GPU_Cluster_BB,0,23,12,50,7,0.0,14022.0,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,1,no_commitment,0,single_experiment,88.0,0,2,14022.0,2.0,0
GPU_Cluster_BB,0,1,1,2,9,10476.4,11415.1,2,0.0,0,standard,cloud_marketplace,broker_platform,1,11,1,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,89.3,0,1,21891.5,2.0,0
GPU_Cluster_AA,1,149,8,32,1,45909.0,84714.6,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,176.44,0,2,130623.6,2.0,1
GPU_Cluster_AA,1,253,9,37,12,19699.1,68272.7,2,0.0,0,standard,managed_account,broker_platform,0,1,0,GPU_T1,GPU_T1,0,locked_allocation,0,single_experiment,58.95,0,0,87971.8,2.0,0
GPU_Cluster_BB,0,169,6,26,29,0.0,44495.2,2,1.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,131.7,0,1,44495.2,3.0,0
GPU_Cluster_BB,1,38,1,2,14,0.0,21427.1,1,0.0,0,standard,enterprise_client,enterprise_portal,0,0,0,GPU_T1,GPU_T1,0,locked_allocation,0,single_experiment,75.0,0,0,21427.1,1.0,1
GPU_Cluster_AA,0,0,8,35,23,0.0,9530.4,2,2.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T7,GPU_T7,0,no_commitment,0,single_experiment,281.0,0,0,9530.4,4.0,1
GPU_Cluster_BB,1,334,9,38,16,0.0,39643.2,2,0.0,0,standard,research_consortium,broker_platform,0,1,0,GPU_T1,GPU_T1,0,locked_allocation,0,multi_run_experiment,62.0,0,0,39643.2,2.0,0
GPU_Cluster_BB,0,12,11,45,3,0.0,61180.0,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,1,no_commitment,0,long_term_contract,91.45,1,0,61180.0,2.0,0
GPU_Cluster_BB,0,206,6,25,22,0.0,28970.1,2,0.0,0,standard,cloud_marketplace,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,117.0,0,0,28970.1,2.0,0
GPU_Cluster_BB,0,7,1,2,10,0.0,31600.9,1,0.0,0,standard,enterprise_client,enterprise_portal,1,1,12,GPU_T1,GPU_T1,1,no_commitment,0,single_experiment,89.0,1,2,31600.9,1.0,1
GPU_Cluster_AA,1,0,7,28,15,18612.3,19874.8,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,168.0,0,1,38487.1,2.0,1
GPU_Cluster_BB,0,86,5,21,20,11401.8,20866.1,2,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,65.0,0,1,32267.9,2.0,0
GPU_Cluster_BB,0,49,3,11,6,41074.8,15798.2,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,69.5,0,0,56873.0,2.0,0
GPU_Cluster_BB,0,176,8,31,2,24609.5,66420.8,2,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,80.1,0,0,91030.3,2.0,0
GPU_Cluster_BB,1,182,10,42,12,0.0,13427.2,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,98.1,0,0,13427.2,2.0,0
GPU_Cluster_BB,1,199,10,44,28,0.0,28012.2,2,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,95.0,0,0,28012.2,2.0,0
GPU_Cluster_BB,0,31,7,28,9,20634.2,0.0,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,160.0,0,1,20634.2,2.0,1
GPU_Cluster_BB,0,12,5,23,30,23230.7,14675.1,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,111.35,0,3,37905.8,2.0,0
GPU_Cluster_AA,1,302,9,37,8,0.0,78834.5,2,0.0,0,standard,internal_research,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,84.47,0,0,78834.5,2.0,0
GPU_Cluster_AA,1,21,12,52,19,18569.7,0.0,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,48.0,0,1,18569.7,2.0,0
GPU_Cluster_BB,0,161,8,34,21,43679.3,66891.2,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,139.5,0,1,110570.5,2.0,1
GPU_Cluster_BB,1,58,11,46,11,0.0,41638.9,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,88.0,0,0,41638.9,2.0,0
GPU_Cluster_BB,1,384,7,30,20,0.0,28210.9,2,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,locked_allocation,0,single_experiment,65.0,0,0,28210.9,2.0,0
GPU_Cluster_BB,1,261,10,43,22,14187.9,14743.1,2,1.0,0,priority,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,1,no_commitment,0,single_experiment,161.25,0,2,28931.0,3.0,1
GPU_Cluster_BB,1,16,11,48,27,0.0,29822.1,2,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T4,0,no_commitment,0,long_term_contract,55.0,0,0,29822.1,2.0,0
GPU_Cluster_AA,1,78,8,32,1,8836.5,70003.7,2,2.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T7,GPU_T7,0,no_commitment,0,single_experiment,259.0,0,0,78840.2,4.0,1
GPU_Cluster_AA,0,0,3,12,17,0.0,20158.8,2,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,45.0,0,1,20158.8,2.0,0
GPU_Cluster_BB,1,145,8,34,17,0.0,30825.2,2,1.0,0,standard,internal_research,api_direct,0,0,0,GPU_T4,GPU_T4,1,no_commitment,0,multi_run_experiment,147.0,0,1,30825.2,3.0,1
GPU_Cluster_AA,0,97,8,32,1,24633.9,50911.9,1,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,209.0,0,2,75545.8,1.0,1
GPU_Cluster_AA,0,0,6,26,20,15584.2,67420.1,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,72.0,0,1,83004.3,2.0,0
GPU_Cluster_BB,1,328,9,37,10,0.0,35918.2,2,0.0,0,standard,research_consortium,broker_platform,0,1,0,GPU_T1,GPU_T1,0,locked_allocation,0,long_term_contract,62.0,0,0,35918.2,2.0,0
GPU_Cluster_AA,0,3,5,21,19,0.0,17518.2,1,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T3,0,no_commitment,0,single_experiment,70.0,1,0,17518.2,1.0,0
GPU_Cluster_BB,1,181,7,30,23,23233.8,59289.8,2,0.0,0,standard,cloud_marketplace,broker_platform,0,1,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,76.5,0,2,82523.6,2.0,0
GPU_Cluster_AA,0,0,2,9,27,24137.9,13805.6,2,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,54.0,0,0,37943.5,2.0,0
GPU_Cluster_BB,1,50,4,15,8,0.0,15525.8,1,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,1,no_commitment,0,single_experiment,112.5,0,0,15525.8,1.0,0
GPU_Cluster_AA,1,28,1,2,9,0.0,13440.2,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,56.0,0,1,13440.2,2.0,0
GPU_Cluster_BB,0,15,5,20,17,0.0,32043.3,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,190.0,0,1,32043.3,2.0,1
GPU_Cluster_BB,0,68,9,37,12,44128.9,31123.3,2,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,62.0,0,0,75252.2,2.0,0
GPU_Cluster_AA,1,10,4,14,3,18012.9,16912.5,1,0.0,0,standard,enterprise_client,enterprise_portal,0,0,0,GPU_T1,GPU_T1,0,locked_allocation,0,single_experiment,45.0,0,0,34925.4,1.0,1
GPU_Cluster_BB,0,155,8,35,21,14136.6,0.0,2,1.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,121.5,0,1,14136.6,3.0,0
GPU_Cluster_AA,1,28,5,20,14,30178.7,115980.6,2,2.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T7,GPU_T7,0,no_commitment,0,single_experiment,170.0,0,1,146159.3,4.0,1
GPU_Cluster_BB,1,37,10,42,13,0.0,39765.9,1,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,95.0,0,0,39765.9,1.0,0
GPU_Cluster_AA,0,0,8,36,30,6512.8,0.0,3,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,183.0,1,0,6512.8,3.0,1
GPU_Cluster_BB,0,120,8,33,9,28567.7,18213.8,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,76.5,0,2,46781.5,2.0,0
GPU_Cluster_BB,1,105,4,15,6,0.0,14475.1,2,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,locked_allocation,0,single_experiment,75.0,0,0,14475.1,2.0,0
GPU_Cluster_BB,0,26,11,47,16,0.0,40892.6,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,88.4,0,1,40892.6,2.0,0
GPU_Cluster_AA,0,0,11,48,23,18549.1,15211.8,1,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,38.0,0,0,33760.9,1.0,0
GPU_Cluster_BB,0,23,2,6,10,38250.1,90541.2,2,0.0,0,on_demand,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,59.5,0,0,128791.3,2.0,0
GPU_Cluster_BB,1,5,2,7,12,48686.9,96888.0,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,106.83,0,0,145574.9,2.0,0
GPU_Cluster_BB,1,219,8,35,28,19273.6,29783.9,2,1.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T4,1,no_commitment,0,single_experiment,135.0,0,2,49057.5,3.0,0
GPU_Cluster_BB,0,75,4,15,15,24803.0,9525.6,2,1.0,0,standard,internal_research,api_direct,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,multi_run_experiment,171.0,0,3,34328.6,3.0,1
GPU_Cluster_BB,1,98,4,14,5,0.0,27647.9,3,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,4,no_commitment,0,single_experiment,121.5,0,3,27647.9,3.0,0
GPU_Cluster_BB,1,281,7,30,25,25097.6,49622.9,2,0.0,0,standard,research_consortium,broker_platform,0,1,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,62.0,0,0,74720.5,2.0,0
GPU_Cluster_BB,0,2,8,34,20,20551.4,10753.0,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,81.7,0,0,31304.4,2.0,0
GPU_Cluster_BB,0,31,3,10,4,14193.7,34805.0,2,1.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T5,1,no_commitment,0,single_experiment,53.19,0,1,48998.7,3.0,0
GPU_Cluster_BB,0,98,10,45,30,31422.2,13409.1,1,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,90.45,0,1,44831.3,1.0,0
GPU_Cluster_BB,0,47,8,36,30,0.0,60994.9,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,109.8,0,2,60994.9,2.0,0
GPU_Cluster_AA,0,216,4,15,9,49813.9,90539.6,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T5,GPU_T5,0,no_commitment,0,multi_run_experiment,87.9,0,2,140353.5,2.0,0
GPU_Cluster_BB,1,335,9,38,17,0.0,27122.3,2,0.0,0,standard,research_consortium,broker_platform,0,1,0,GPU_T1,GPU_T1,0,locked_allocation,0,long_term_contract,62.0,0,0,27122.3,2.0,0
GPU_Cluster_AA,0,111,12,52,23,25831.4,65521.3,1,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,1,no_commitment,0,single_experiment,38.29,0,1,91352.7,1.0,0
GPU_Cluster_BB,1,220,8,35,30,0.0,34159.8,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,117.0,0,1,34159.8,2.0,0
GPU_Cluster_BB,0,15,11,46,7,24855.1,19625.6,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,200.0,0,2,44480.7,2.0,1
GPU_Cluster_BB,0,67,5,20,12,0.0,38104.8,2,0.0,0,priority,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,161.1,0,1,38104.8,2.0,1
GPU_Cluster_BB,0,67,5,22,29,14345.4,29598.5,2,0.0,0,on_demand,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,80.1,0,0,43943.9,2.0,0
GPU_Cluster_BB,1,125,4,15,14,23701.7,22508.2,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,103.5,0,0,46209.9,2.0,0
GPU_Cluster_AA,0,22,1,2,12,0.0,13482.4,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,1,no_commitment,0,single_experiment,48.0,0,1,13482.4,2.0,0
