datacenter,canceled_job,hours_before_execution,request_month,request_day,peak_gpu_hours,offpeak_gpu_hours,num_primary_processes,num_auxiliary_processes,num_background_processes,service_tier,client_type,request_channel,returning_client,previous_job_cancellations,successful_previous_jobs,reserved_gpu_type,assigned_gpu_type,resource_modifications,reservation_commitment,workload_profile,estimated_cost_per_hour,reserved_storage_units,special_resource_requests,high_value_client,y_true,y_pred,is_error
GPU_Cluster_AA,1,3,3,19,18401.1,0.0,1,0.0,0,standard,enterprise_client,enterprise_portal,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,35.0,0,0,1,1,0,True
GPU_Cluster_BB,1,46,12,16,20599.8,29110.4,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,79.2,0,1,0,1,0,True
GPU_Cluster_BB,1,62,9,14,17109.2,69744.1,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,single_experiment,149.4,0,3,1,1,0,True
GPU_Cluster_BB,1,12,5,7,0.0,14567.5,1,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,135.0,0,0,0,1,0,True
GPU_Cluster_BB,1,70,12,8,0.0,11747.9,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,79.2,0,2,0,1,0,True
GPU_Cluster_BB,1,205,1,13,0.0,10472.2,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,single_experiment,122.4,0,1,0,1,0,True
GPU_Cluster_BB,1,0,11,28,11107.5,10315.0,2,0.0,0,standard,internal_research,api_direct,1,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,69.0,0,0,0,1,0,True
GPU_Cluster_BB,1,34,10,2,24688.4,37863.6,1,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,single_experiment,139.5,0,1,1,1,0,True
GPU_Cluster_BB,1,45,6,14,9240.4,67167.9,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,152.0,0,1,1,1,0,True
GPU_Cluster_BB,1,20,1,24,23881.3,20691.5,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,69.5,0,1,0,1,0,True
GPU_Cluster_BB,1,134,2,25,0.0,13813.8,1,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T4,0,no_commitment,multi_run_experiment,75.0,0,0,0,1,0,True
GPU_Cluster_BB,1,1,11,28,15811.9,36687.7,1,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,78.53,0,0,0,1,0,True
GPU_Cluster_AA,1,210,5,4,29733.1,51507.8,1,0.0,0,priority,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,50.4,0,1,0,1,0,True
GPU_Cluster_BB,1,8,7,30,26485.8,23611.5,1,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,126.0,0,0,0,1,0,True
GPU_Cluster_BB,1,73,3,17,0.0,30958.0,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,84.3,0,1,0,1,0,True
GPU_Cluster_BB,1,4,3,24,0.0,41980.9,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,134.0,0,0,0,1,0,True
GPU_Cluster_BB,1,65,5,23,12026.2,9918.8,1,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,multi_run_experiment,85.0,0,0,0,1,0,True
GPU_Cluster_BB,1,0,2,10,0.0,16593.0,2,0.0,0,standard,sponsored_project,api_direct,0,0,0,GPU_T5,GPU_T5,0,no_commitment,single_experiment,0.0,0,2,0,1,0,True
GPU_Cluster_AA,1,140,2,19,20593.8,46668.9,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,single_experiment,37.44,0,1,0,1,0,True
GPU_Cluster_BB,1,303,12,27,10750.0,67793.3,3,0.0,0,priority,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,2,no_commitment,single_experiment,159.23,0,1,1,1,0,True
GPU_Cluster_AA,1,7,10,23,0.0,22349.4,2,1.0,0,standard,internal_research,api_direct,0,0,0,GPU_T7,GPU_T7,0,no_commitment,single_experiment,106.0,0,2,0,1,0,True
GPU_Cluster_BB,1,200,7,15,32235.3,114877.2,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,90.95,0,1,0,1,0,True
GPU_Cluster_BB,1,0,11,16,0.0,6242.9,2,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,89.0,0,0,0,1,0,True
GPU_Cluster_AA,1,181,10,3,9380.7,51787.5,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,single_experiment,79.0,0,1,0,1,0,True
GPU_Cluster_BB,1,16,10,29,12536.8,11121.9,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,140.0,0,1,1,1,0,True
GPU_Cluster_BB,1,34,8,5,0.0,29246.9,2,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,multi_run_experiment,62.0,0,0,0,1,0,True
GPU_Cluster_AA,1,70,4,11,0.0,62174.6,2,0.0,0,unknown,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,1,no_commitment,single_experiment,128.8,0,1,0,1,0,True
GPU_Cluster_BB,1,83,8,14,9117.4,35106.5,2,1.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,170.0,0,1,1,1,0,True
GPU_Cluster_BB,1,120,5,12,9669.2,35605.9,1,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,2,no_commitment,multi_run_experiment,110.59,0,0,0,1,0,True
GPU_Cluster_BB,1,18,10,29,28037.1,12818.7,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,120.0,0,1,0,1,0,True
GPU_Cluster_BB,1,198,5,20,0.0,12537.4,1,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T2,1,no_commitment,multi_run_experiment,57.5,0,0,0,1,0,True
GPU_Cluster_BB,1,3,9,5,51002.5,18749.3,1,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,multi_run_experiment,0.0,0,0,0,1,0,True
GPU_Cluster_BB,1,123,7,30,37847.4,10455.3,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,2,no_commitment,single_experiment,155.0,0,1,1,1,0,True
GPU_Cluster_BB,1,19,5,3,0.0,9146.6,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,120.0,0,1,0,1,0,True
GPU_Cluster_AA,1,182,8,14,18415.7,63052.1,2,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T4,GPU_T4,0,no_commitment,single_experiment,209.86,0,0,1,1,0,True
GPU_Cluster_BB,1,39,8,14,0.0,34779.0,2,0.0,0,priority,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,multi_run_experiment,101.5,0,0,0,1,0,True
GPU_Cluster_AA,1,86,10,25,24169.8,111014.6,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,single_experiment,59.16,0,1,0,1,0,True
GPU_Cluster_AA,1,302,4,28,20331.8,23247.8,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T5,GPU_T5,0,no_commitment,single_experiment,81.0,0,1,0,1,0,True
GPU_Cluster_AA,1,107,6,16,22180.3,107975.2,2,0.0,0,priority,internal_research,api_direct,0,0,0,GPU_T3,GPU_T3,1,no_commitment,single_experiment,185.0,0,0,1,1,0,True
GPU_Cluster_BB,1,75,3,26,32355.0,9660.3,2,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,multi_run_experiment,72.0,0,0,0,1,0,True
GPU_Cluster_BB,1,163,3,10,27254.5,42443.6,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,88.4,0,1,0,1,0,True
GPU_Cluster_BB,1,42,6,27,0.0,12823.0,2,1.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,129.0,0,1,0,1,0,True
GPU_Cluster_AA,1,6,3,27,12499.0,0.0,1,0.0,0,standard,enterprise_client,enterprise_portal,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,35.0,0,0,1,1,0,True
GPU_Cluster_BB,1,63,11,17,11904.5,50483.2,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,74.8,0,1,0,1,0,True
GPU_Cluster_AA,1,0,8,13,10550.2,0.0,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T5,GPU_T5,0,no_commitment,single_experiment,207.0,0,0,1,1,0,True
GPU_Cluster_BB,1,10,5,14,27618.4,0.0,1,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,88.0,0,1,0,1,0,True
GPU_Cluster_BB,1,241,9,2,23197.3,35825.4,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,single_experiment,101.79,0,1,0,1,0,True
GPU_Cluster_AA,1,0,7,28,0.0,14170.4,2,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,single_experiment,0.0,0,0,0,1,0,True
